t_session_sec,abs_ts,phase_rec,trial_idx_rec,attention_rec,attention_pct_rec,attention_window_open_rec,theta_power_rec,smr_power_rec,beta1_power_rec
26.3874,1785919042.804331,B,2,0.0771,0.0900,0,0.4204,0.4576,0.2738
26.4644,1785919042.881338,B,2,0.0890,0.1167,0,0.4016,0.4860,0.2772
26.5433,1785919042.960446,B,2,0.0803,0.0600,0,0.4354,0.4339,0.2543
26.6216,1785919043.038710,B,2,0.0732,0.0567,0,0.4395,0.4231,0.2536
26.6993,1785919043.116219,B,2,0.0522,0.0033,0,0.4694,0.3910,0.2179
26.7770,1785919043.193951,B,2,0.0426,0.0200,0,0.4592,0.3947,0.2355
26.8551,1785919043.272040,B,2,0.0308,0.0033,0,0.4750,0.3919,0.2201
26.9352,1785919043.352060,B,2,0.0606,0.1300,0,0.4077,0.4803,0.2723
27.0132,1785919043.430151,B,2,0.0454,0.0100,0,0.4658,0.3812,0.2307
27.0932,1785919043.510064,B,2,0.0388,0.0233,0,0.4601,0.3900,0.2331
27.1708,1785919043.587831,B,2,0.0471,0.0667,0,0.4405,0.4175,0.2417
27.2495,1785919043.666395,B,2,0.0580,0.0833,0,0.4371,0.4351,0.2532
27.3278,1785919043.744670,B,2,0.0626,0.0733,0,0.4412,0.4320,0.2463
27.4057,1785919043.822596,B,2,0.0468,0.0100,0,0.4660,0.3873,0.2279
27.4853,1785919043.902217,B,2,0.0598,0.0900,0,0.4395,0.4434,0.2594
27.5631,1785919043.980273,B,2,0.0618,0.0667,0,0.4401,0.3945,0.2372
27.6411,1785919044.057954,B,2,0.0873,0.1467,0,0.4149,0.4624,0.2750
27.7193,1785919044.136209,B,2,0.0761,0.0500,0,0.4508,0.4121,0.2393
27.7972,1785919044.214123,B,2,0.0813,0.0933,0,0.4387,0.4249,0.2500
27.8750,1785919044.291947,B,2,0.0869,0.1000,0,0.4347,0.4118,0.2462
27.9551,1785919044.372023,B,2,0.1088,0.1600,0,0.4123,0.4701,0.2654
28.0332,1785919044.450119,B,2,0.1022,0.0867,0,0.4396,0.4185,0.2517
28.1128,1785919044.529656,B,2,0.1365,0.2167,0,0.3878,0.5127,0.2946
28.1900,1785919044.606911,B,2,0.1636,0.2267,0,0.3812,0.5399,0.3175
28.2670,1785919044.683895,B,2,0.1805,0.2200,0,0.3837,0.5266,0.2889
28.3447,1785919044.761565,B,2,0.1733,0.1567,0,0.4205,0.4694,0.2779
28.4227,1785919044.839585,B,2,0.2053,0.2800,0,0.3633,0.5725,0.3230
28.5021,1785919044.919091,B,2,0.2107,0.2233,0,0.3859,0.5216,0.3007
28.5801,1785919044.997727,B,2,0.2305,0.2767,0,0.3619,0.5632,0.3043
28.6590,1785919045.075863,B,2,0.2594,0.3267,0,0.3534,0.6160,0.3337
28.7377,1785919045.154645,B,2,0.2736,0.3067,0,0.3622,0.5828,0.3334
28.8157,1785919045.232663,B,2,0.2935,0.3400,0,0.3424,0.6125,0.3393
28.8937,1785919045.310580,B,2,0.2774,0.2400,0,0.3761,0.5341,0.3113
28.9736,1785919045.390509,B,2,0.2952,0.3367,0,0.3506,0.6249,0.3427
29.0517,1785919045.468633,B,2,0.3286,0.4067,0,0.3320,0.6728,0.3660
29.1293,1785919045.546215,B,2,0.3601,0.4333,0,0.3230,0.6577,0.3819
29.2084,1785919045.625286,B,2,0.3400,0.2933,0,0.3629,0.5813,0.3216
29.2870,1785919045.703924,B,2,0.3640,0.4200,0,0.3247,0.6597,0.3630
29.3650,1785919045.781925,B,2,0.3668,0.3733,0,0.3353,0.6153,0.3653
29.4430,1785919045.859908,B,2,0.3908,0.4467,0,0.3180,0.6630,0.3803
29.5231,1785919045.940048,B,2,0.4115,0.4600,0,0.3093,0.7171,0.3930
29.6011,1785919046.018213,B,2,0.4011,0.3767,0,0.3265,0.6229,0.3367
29.6796,1785919046.096513,B,2,0.4458,0.5500,0,0.2886,0.7375,0.4022
29.7592,1785919046.176124,B,2,0.4720,0.5333,0,0.2942,0.7379,0.3911
29.8371,1785919046.254053,B,2,0.4724,0.4733,0,0.3049,0.7156,0.3898
29.9161,1785919046.332984,B,2,0.4997,0.5633,0,0.2891,0.7724,0.4249
29.9952,1785919046.412083,B,2,0.4718,0.4067,0,0.3273,0.6606,0.3657
30.0728,1785919046.489786,B,2,0.4653,0.4500,0,0.3072,0.7105,0.3821
30.1518,1785919046.568700,B,2,0.4957,0.5667,0,0.2890,0.7894,0.4233
30.2451,1785919046.662009,A,3,0.4960,0.4967,0,0.2997,0.7317,0.3942
30.3256,1785919046.742501,A,3,0.4762,0.4300,0,0.3161,0.6765,0.3811
30.4042,1785919046.821626,A,3,0.4913,0.5267,0,0.2946,0.7273,0.4040
30.4819,1785919046.898873,A,3,0.5069,0.5433,0,0.2928,0.7634,0.4149
30.5623,1785919046.979428,A,3,0.5229,0.5600,0,0.2827,0.7564,0.4090
30.6421,1785919047.059529,A,3,0.4800,0.3800,0,0.3303,0.6647,0.3606
30.7196,1785919047.136864,A,3,0.4710,0.4500,0,0.3059,0.7259,0.3853
30.7969,1785919047.213760,A,3,0.4487,0.3967,0,0.3297,0.6957,0.3796
30.8773,1785919047.294894,A,3,0.4471,0.4433,0,0.3025,0.7065,0.3765
