t_session_sec,abs_ts,source,kind,key,value,info
44.5200,1785919057.473669,unity,marker,coin_spawn,-2.1687,scene=Game_Attention | unity_ts=1785919057.418983 | recv_ts=1785919057.473669 | seq=49 | transport_ms=54.687 | info=attention
44.5204,1785919057.474019,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919057.423982 | recv_ts=1785919057.474019 | seq=50 | transport_ms=50.037 | info=attention
45.3081,1785919058.261675,unity,marker,coin_spawn,-1.8369,scene=Game_Attention | unity_ts=1785919058.215975 | recv_ts=1785919058.261675 | seq=51 | transport_ms=45.700 | info=attention
45.3084,1785919058.262010,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919058.223975 | recv_ts=1785919058.262010 | seq=52 | transport_ms=38.035 | info=attention
47.4287,1785919060.382337,unity,marker,coin_spawn,-2.1494,scene=Game_Attention | unity_ts=1785919060.350682 | recv_ts=1785919060.382337 | seq=53 | transport_ms=31.655 | info=attention
48.7495,1785919061.703136,matlab,phase,phase_b_end,3,
48.7499,1785919061.703545,matlab,trial,trial_end,3,
48.7505,1785919061.704079,matlab,phase,phase_a_start,4,dur=5s | send_seq=578
48.7660,1785919061.719604,matlab,trial,trial_start,4,
48.7836,1785919061.737198,unity,sync,phase_ack,0,scene=Game_Attention | unity_ts=1785919061.719860 | recv_ts=1785919061.737198 | seq=54 | transport_ms=17.338 | info=A
48.7836,1785919061.737198,system,latency,phase_ack_transport_ms,17.3383,phase=A trial=4 ack_seq=54 unity_phase=A
48.7836,1785919061.737198,system,latency,phase_ack_latency_ms,33.1190,phase=A trial=4 send_seq=578 ack_seq=54 unity_phase=A
53.7996,1785919066.753263,matlab,phase,phase_a_end,4,
53.8001,1785919066.753762,matlab,phase,phase_b_start,4,dur=10s | send_seq=643
53.8326,1785919066.786207,unity,sync,phase_ack,1,scene=Game_Attention | unity_ts=1785919066.768939 | recv_ts=1785919066.786207 | seq=55 | transport_ms=17.268 | info=B
53.8326,1785919066.786207,system,latency,phase_ack_transport_ms,17.2679,phase=B trial=4 ack_seq=55 unity_phase=B
53.8326,1785919066.786207,system,latency,phase_ack_latency_ms,32.4450,phase=B trial=4 send_seq=643 ack_seq=55 unity_phase=B
54.3681,1785919067.321732,unity,marker,coin_spawn,-1.7739,scene=Game_Attention | unity_ts=1785919067.308038 | recv_ts=1785919067.321732 | seq=56 | transport_ms=13.695 | info=attention
54.5242,1785919067.477858,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919067.412646 | recv_ts=1785919067.477858 | seq=57 | transport_ms=65.212 | info=attention
54.9907,1785919067.944335,unity,marker,coin_spawn,-2.1052,scene=Game_Attention | unity_ts=1785919067.906591 | recv_ts=1785919067.944335 | seq=58 | transport_ms=37.744 | info=attention
54.9911,1785919067.944684,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919067.912591 | recv_ts=1785919067.944684 | seq=59 | transport_ms=32.093 | info=attention
55.5393,1785919068.492953,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919068.412669 | recv_ts=1785919068.492953 | seq=60 | transport_ms=80.283 | info=attention
55.5397,1785919068.493313,unity,marker,coin_spawn,-2.1543,scene=Game_Attention | unity_ts=1785919068.413669 | recv_ts=1785919068.493313 | seq=61 | transport_ms=79.644 | info=attention
56.0106,1785919068.964205,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919068.892507 | recv_ts=1785919068.964205 | seq=62 | transport_ms=71.698 | info=attention
56.0109,1785919068.964559,unity,marker,coin_spawn,-2.2707,scene=Game_Attention | unity_ts=1785919068.899507 | recv_ts=1785919068.964559 | seq=63 | transport_ms=65.052 | info=attention
56.4811,1785919069.434699,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919069.392456 | recv_ts=1785919069.434699 | seq=64 | transport_ms=42.243 | info=attention
56.4814,1785919069.435039,unity,marker,coin_spawn,-1.8214,scene=Game_Attention | unity_ts=1785919069.393457 | recv_ts=1785919069.435039 | seq=65 | transport_ms=41.582 | info=attention
56.9541,1785919069.907681,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919069.892135 | recv_ts=1785919069.907681 | seq=66 | transport_ms=15.546 | info=attention
56.9544,1785919069.908020,unity,marker,coin_spawn,-1.8152,scene=Game_Attention | unity_ts=1785919069.901135 | recv_ts=1785919069.908020 | seq=67 | transport_ms=6.885 | info=attention
57.5098,1785919070.463425,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919070.452202 | recv_ts=1785919070.463425 | seq=68 | transport_ms=11.223 | info=attention
57.5102,1785919070.463860,unity,marker,coin_spawn,-2.0662,scene=Game_Attention | unity_ts=1785919070.454202 | recv_ts=1785919070.463860 | seq=69 | transport_ms=9.658 | info=attention
58.1346,1785919071.088221,unity,marker,coin_spawn,-2.1268,scene=Game_Attention | unity_ts=1785919071.051704 | recv_ts=1785919071.088221 | seq=70 | transport_ms=36.517 | info=attention
58.1349,1785919071.088563,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919071.052704 | recv_ts=1785919071.088563 | seq=71 | transport_ms=35.859 | info=attention
58.7617,1785919071.715281,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919071.672243 | recv_ts=1785919071.715281 | seq=72 | transport_ms=43.038 | info=attention
58.7620,1785919071.715616,unity,marker,coin_spawn,-2.2136,scene=Game_Attention | unity_ts=1785919071.676243 | recv_ts=1785919071.715616 | seq=73 | transport_ms=39.373 | info=attention
59.3923,1785919072.345880,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919072.272158 | recv_ts=1785919072.345880 | seq=74 | transport_ms=73.722 | info=attention
59.3926,1785919072.346223,unity,marker,coin_spawn,-1.9548,scene=Game_Attention | unity_ts=1785919072.279159 | recv_ts=1785919072.346223 | seq=75 | transport_ms=67.064 | info=attention
59.9438,1785919072.897385,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919072.832518 | recv_ts=1785919072.897385 | seq=76 | transport_ms=64.867 | info=attention
59.9441,1785919072.897760,unity,marker,coin_spawn,-2.1935,scene=Game_Attention | unity_ts=1785919072.833518 | recv_ts=1785919072.897760 | seq=77 | transport_ms=64.242 | info=attention
60.4147,1785919073.368368,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919073.352782 | recv_ts=1785919073.368368 | seq=78 | transport_ms=15.586 | info=attention
60.4151,1785919073.368717,unity,marker,coin_spawn,-1.9656,scene=Game_Attention | unity_ts=1785919073.358783 | recv_ts=1785919073.368717 | seq=79 | transport_ms=9.934 | info=attention
60.9653,1785919073.918926,unity,marker,coin_spawn,-1.9056,scene=Game_Attention | unity_ts=1785919073.868201 | recv_ts=1785919073.918926 | seq=80 | transport_ms=50.725 | info=attention
60.9656,1785919073.919248,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919073.872200 | recv_ts=1785919073.919248 | seq=81 | transport_ms=47.048 | info=attention
61.5020,1785919074.455599,unity,marker,coin_spawn,-1.7972,scene=Game_Attention | unity_ts=1785919074.448257 | recv_ts=1785919074.455599 | seq=82 | transport_ms=7.342 | info=attention
61.5023,1785919074.455937,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919074.452257 | recv_ts=1785919074.455937 | seq=83 | transport_ms=3.680 | info=attention
62.2890,1785919075.242664,unity,marker,coin_collected,10,scene=Game_Attention | unity_ts=1785919075.192499 | recv_ts=1785919075.242664 | seq=84 | transport_ms=50.165 | info=attention
62.2896,1785919075.243192,unity,marker,coin_spawn,-2.1420,scene=Game_Attention | unity_ts=1785919075.195499 | recv_ts=1785919075.243192 | seq=85 | transport_ms=47.693 | info=attention
63.5467,1785919076.500340,unity,marker,coin_spawn,-2.2976,scene=Game_Attention | unity_ts=1785919076.498611 | recv_ts=1785919076.500340 | seq=86 | transport_ms=1.729 | info=attention
63.8450,1785919076.798613,matlab,phase,phase_b_end,4,
63.8455,1785919076.799161,matlab,trial,trial_end,4,
64.0839,1785919077.037557,unity,sync,session_stop_ack,0,unity_ts=1785919076.877112 | recv_ts=1785919077.037557 | seq=87 | info=finalize
64.0839,1785919077.037557,system,latency,session_stop_ack_transport_ms,160.4445,ack_seq=87 reason=finalize
64.0839,1785919077.037557,system,latency,session_stop_ack_latency_ms,169.1418,send_seq=773 ack_seq=87 reason=finalize
64.0942,1785919077.047811,matlab,phase,phase_b_end,4,session_finalize
64.0945,1785919077.048116,matlab,trial,trial_end,4,session_finalize
