t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
32.4220,1785919339.841223,A,3,0.5261,0.5533,0,1.3394,0.2743,0.3976
32.4997,1785919339.918737,A,3,0.5483,0.6000,0,1.3619,0.3074,0.3618
32.5791,1785919339.998085,A,3,0.4588,0.2500,0,1.1501,0.2460,0.4456
32.6581,1785919340.077334,A,3,0.4642,0.4767,0,1.2376,0.3034,0.3570
32.7363,1785919340.155384,A,3,0.4869,0.5400,0,1.2649,0.3257,0.3346
32.8143,1785919340.233347,A,3,0.4498,0.3633,0,1.1731,0.2931,0.3721
32.8933,1785919340.312456,A,3,0.4229,0.3600,0,1.1995,0.2955,0.3809
32.9715,1785919340.390337,A,3,0.4320,0.4533,0,1.2417,0.2847,0.3775
33.0495,1785919340.468367,A,3,0.5224,0.7333,0,1.4159,0.3334,0.3276
33.1270,1785919340.546357,A,3,0.5777,0.7067,0,1.4251,0.3060,0.3584
33.2067,1785919340.625689,A,3,0.6544,0.8333,0,1.5319,0.3346,0.3262
33.2857,1785919340.704952,A,3,0.7031,0.8167,1,1.5162,0.3204,0.3406
33.3630,1785919340.782102,A,3,0.7501,0.8600,1,1.5667,0.3498,0.3137
33.4432,1785919340.862338,A,3,0.7531,0.7600,1,1.4540,0.3269,0.3339
33.5199,1785919340.938920,A,3,0.7372,0.7000,1,1.4067,0.3339,0.3275
33.5989,1785919341.018122,A,3,0.7210,0.6833,1,1.3908,0.3581,0.3107
33.6758,1785919341.094997,A,3,0.7037,0.6633,1,1.3676,0.3641,0.3018
33.7534,1785919341.172492,A,3,0.6586,0.5533,0,1.3183,0.3547,0.3110
33.8307,1785919341.250186,A,3,0.6660,0.6833,0,1.3758,0.3743,0.2901
33.9083,1785919341.327201,A,3,0.6802,0.7133,0,1.3817,0.3544,0.2991
33.9868,1785919341.405883,A,3,0.7311,0.8500,1,1.5285,0.4023,0.2606
34.0642,1785919341.483519,A,3,0.7928,0.9367,1,1.6744,0.4239,0.2414
34.1441,1785919341.563059,A,3,0.8130,0.8600,1,1.5230,0.3438,0.2987
34.2215,1785919341.640608,A,3,0.8631,0.9800,1,1.7986,0.4231,0.2262
34.3002,1785919341.719521,A,3,0.8802,0.9200,1,1.6691,0.3839,0.2763
34.3789,1785919341.797794,A,3,0.8891,0.9100,1,1.6549,0.3879,0.2710
34.4578,1785919341.876752,A,3,0.8904,0.8933,1,1.6856,0.4373,0.2477
34.5360,1785919341.955083,A,3,0.9023,0.9300,1,1.6569,0.4329,0.2289
34.6158,1785919342.034770,A,3,0.8936,0.8733,1,1.6255,0.4490,0.2281
34.6942,1785919342.113244,A,3,0.8905,0.8833,1,1.6414,0.4566,0.2175
34.7710,1785919342.190374,A,3,0.8854,0.8733,1,1.6073,0.4424,0.2238
34.8500,1785919342.269349,A,3,0.8727,0.8433,1,1.5926,0.4556,0.2254
34.9291,1785919342.348509,A,3,0.8749,0.8800,1,1.6483,0.4450,0.2301
35.0071,1785919342.426308,A,3,0.8944,0.9400,1,1.7422,0.4661,0.2161
35.0853,1785919342.504205,A,3,0.9181,0.9733,1,1.8191,0.4804,0.2045
