t_session_sec,abs_ts,phase_rec,trial_idx_rec,relaxation_rec,relaxation_pct_rec,relaxation_window_open_rec,alpha_power_rec,beta1_power_rec,beta2_power_rec
7.6740,1785919315.093321,B,1,0.1456,0.0515,0,1.1393,0.2726,0.4144
7.7529,1785919315.171808,B,1,0.1142,0.0408,0,1.1008,0.2568,0.4277
7.8321,1785919315.251393,B,1,0.0981,0.0606,0,1.1083,0.2594,0.4204
7.9114,1785919315.330294,B,1,0.0807,0.0400,0,1.1439,0.2612,0.4414
7.9916,1785919315.410609,B,1,0.1456,0.2970,0,1.2309,0.2782,0.3958
8.0695,1785919315.488889,B,1,0.1931,0.3039,0,1.2459,0.2520,0.4202
8.1494,1785919315.568575,B,1,0.2342,0.3301,0,1.2818,0.2454,0.4320
8.2273,1785919315.646175,B,1,0.3024,0.4615,0,1.3771,0.2658,0.4103
8.3075,1785919315.727142,B,1,0.3260,0.3810,0,1.3400,0.2350,0.4429
8.3864,1785919315.805201,B,1,0.3159,0.2925,0,1.3117,0.2344,0.4600
8.4655,1785919315.884398,B,1,0.2912,0.2336,0,1.2460,0.2395,0.4439
8.5423,1785919315.961483,B,1,0.2094,0.0185,0,1.1403,0.2126,0.4897
8.6215,1785919316.040344,B,1,0.1493,0.0092,0,1.0553,0.1945,0.5187
8.6997,1785919316.118741,B,1,0.1100,0.0182,0,1.0518,0.2207,0.4873
8.7774,1785919316.196473,B,1,0.0797,0.0090,0,0.9911,0.1938,0.5120
8.8574,1785919316.276780,B,1,0.0692,0.0446,0,1.0703,0.2310,0.4620
8.9357,1785919316.354810,B,1,0.0644,0.0531,0,1.0756,0.2181,0.4682
9.0146,1785919316.433991,B,1,0.0529,0.0263,0,1.0902,0.1883,0.5269
9.0936,1785919316.512507,B,1,0.0553,0.0609,0,1.1798,0.1956,0.5289
9.1717,1785919316.590633,B,1,0.1008,0.2069,0,1.2443,0.2080,0.4975
9.2498,1785919316.669070,B,1,0.0936,0.0769,0,1.2287,0.1697,0.5603
9.3297,1785919316.749039,B,1,0.0808,0.0508,0,1.2175,0.1756,0.5655
9.4088,1785919316.828309,B,1,0.0818,0.0840,0,1.2045,0.1871,0.5393
9.4878,1785919316.907016,B,1,0.0772,0.0667,0,1.1726,0.1843,0.5349
9.5659,1785919316.985420,B,1,0.0665,0.0413,0,1.0962,0.2000,0.5162
9.6458,1785919317.064764,B,1,0.0490,0.0082,0,0.9987,0.1640,0.5830
9.7248,1785919317.144323,B,1,0.0392,0.0163,0,1.0003,0.2052,0.5203
9.8039,1785919317.222782,B,1,0.0298,0.0081,0,0.9573,0.1631,0.5913
9.8819,1785919317.301175,B,1,0.0281,0.0240,0,0.9737,0.1664,0.5598
9.9620,1785919317.381198,B,1,0.0292,0.0317,0,1.0339,0.1716,0.5605
10.0411,1785919317.459892,B,1,0.0322,0.0394,0,1.0932,0.1584,0.5928
10.1188,1785919317.537812,B,1,0.0507,0.0938,0,1.1627,0.1752,0.5513
10.1979,1785919317.616953,B,1,0.0657,0.1008,0,1.2203,0.1729,0.5740
10.2759,1785919317.694788,B,1,0.0829,0.1231,0,1.2245,0.1656,0.5742
10.3545,1785919317.773630,B,1,0.1107,0.1756,0,1.2405,0.1776,0.5554
10.4321,1785919317.851438,B,1,0.1434,0.2197,0,1.2136,0.1837,0.5271
10.5119,1785919317.931126,B,1,0.1162,0.0526,0,1.0901,0.1665,0.5816
10.5911,1785919318.010201,B,1,0.0970,0.0522,0,1.0400,0.1761,0.5560
10.6703,1785919318.089399,B,1,0.0768,0.0296,0,0.9888,0.1729,0.5519
10.7481,1785919318.167350,B,1,0.0582,0.0147,0,0.9672,0.1709,0.5698
10.8281,1785919318.247152,B,1,0.0451,0.0146,0,0.9599,0.1793,0.5619
10.9073,1785919318.326443,B,1,0.0620,0.1014,0,1.0516,0.1988,0.5088
10.9840,1785919318.403190,B,1,0.0563,0.0432,0,1.0340,0.1717,0.5729
11.0632,1785919318.482206,B,1,0.1230,0.2786,0,1.1925,0.2196,0.4803
11.1421,1785919318.561509,B,1,0.1372,0.1702,0,1.1947,0.1708,0.5567
11.2201,1785919318.639278,B,1,0.2207,0.4155,0,1.2932,0.2033,0.4948
11.2997,1785919318.718795,B,1,0.2363,0.2727,0,1.2635,0.1847,0.5381
11.3785,1785919318.797794,B,1,0.2987,0.4444,0,1.2859,0.2187,0.4698
11.4559,1785919318.874908,B,1,0.3167,0.3586,0,1.2307,0.2308,0.4740
11.5353,1785919318.954162,B,1,0.3080,0.2877,0,1.1667,0.2138,0.4733
11.6137,1785919319.033025,B,1,0.2829,0.2245,0,1.1095,0.2166,0.4707
11.6918,1785919319.110927,B,1,0.2548,0.1892,0,1.0818,0.2433,0.4538
11.7710,1785919319.190116,B,1,0.2045,0.0872,0,0.9773,0.1917,0.5143
11.8498,1785919319.269131,B,1,0.2032,0.2000,0,1.0792,0.2491,0.4468
11.9279,1785919319.347693,B,1,0.2078,0.2185,0,1.1016,0.2305,0.4654
12.0058,1785919319.425265,B,1,0.3093,0.5461,0,1.2670,0.2723,0.3897
12.0851,1785919319.504366,B,1,0.3498,0.4444,0,1.2645,0.2460,0.4462
12.1639,1785919319.582963,B,1,0.4221,0.5909,0,1.3359,0.2649,0.4113
12.2420,1785919319.660904,B,1,0.4542,0.5290,0,1.3179,0.2359,0.4495
12.3222,1785919319.741595,B,1,0.4737,0.5192,0,1.3408,0.2323,0.4670
12.4003,1785919319.819401,B,1,0.5284,0.6561,0,1.4028,0.2832,0.3978
12.4800,1785919319.899044,B,1,0.5712,0.6709,0,1.3868,0.2908,0.3733
12.5582,1785919319.977294,B,1,0.5545,0.5157,0,1.2595,0.2868,0.3920
12.6384,1785919320.058078,B,1,0.5494,0.5375,0,1.2620,0.3087,0.3612
12.7162,1785919320.135380,B,1,0.5318,0.4907,0,1.2011,0.2995,0.3664
12.7962,1785919320.215141,B,1,0.5297,0.5247,0,1.2056,0.3050,0.3553
12.8741,1785919320.293126,B,1,0.5346,0.5460,0,1.2399,0.3084,0.3522
12.9520,1785919320.371008,B,1,0.5736,0.6646,0,1.3441,0.3281,0.3380
13.0310,1785919320.450290,B,1,0.5979,0.6545,0,1.3414,0.2985,0.3638
13.1090,1785919320.527934,B,1,0.6173,0.6627,0,1.3788,0.3035,0.3714
13.1882,1785919320.607557,B,1,0.6603,0.7605,0,1.5038,0.3288,0.3310
13.2681,1785919320.687323,B,1,0.6783,0.7202,0,1.4586,0.2891,0.3783
13.3474,1785919320.766797,B,1,0.7144,0.7988,1,1.5364,0.3334,0.3162
13.4263,1785919320.845409,B,1,0.7066,0.6882,1,1.4160,0.3116,0.3672
13.5065,1785919320.925819,B,1,0.6928,0.6608,0,1.3832,0.3157,0.3573
13.5855,1785919321.004392,B,1,0.6978,0.7093,0,1.3682,0.3247,0.3310
13.6635,1785919321.082506,B,1,0.6723,0.6127,0,1.3029,0.3323,0.3271
13.7436,1785919321.162767,B,1,0.6413,0.5690,0,1.2606,0.3308,0.3314
13.8216,1785919321.240622,B,1,0.6135,0.5486,0,1.2345,0.3152,0.3395
13.8997,1785919321.318975,B,1,0.6237,0.6477,0,1.3385,0.3395,0.3275
13.9784,1785919321.397600,B,1,0.6773,0.8023,0,1.5346,0.4126,0.2646
14.0578,1785919321.477209,B,1,0.6932,0.7303,0,1.4531,0.3372,0.3230
14.1365,1785919321.555418,B,1,0.7283,0.8101,1,1.5575,0.3657,0.2877
14.2140,1785919321.633172,B,1,0.7365,0.7556,1,1.5103,0.3367,0.3290
14.2901,1785919321.709174,B,1,0.7525,0.7901,1,1.5338,0.3311,0.3288
14.3674,1785919321.786235,B,1,0.7477,0.7363,1,1.5095,0.3299,0.3356
14.4457,1785919321.865142,B,1,0.7365,0.7104,1,1.4509,0.3271,0.3353
14.5234,1785919321.942389,B,1,0.7242,0.6957,1,1.4026,0.3241,0.3308
14.6037,1785919322.022774,B,1,0.7243,0.7243,1,1.4328,0.3639,0.2926
14.6820,1785919322.100989,B,1,0.6812,0.5806,0,1.2805,0.3267,0.3233
14.7598,1785919322.178908,B,1,0.6308,0.5134,0,1.2457,0.3089,0.3495
14.8398,1785919322.258736,B,1,0.6043,0.5426,0,1.2757,0.3351,0.3336
14.9179,1785919322.337076,B,1,0.6135,0.6349,0,1.3240,0.3275,0.3285
14.9978,1785919322.416758,B,1,0.5842,0.5158,0,1.2993,0.3114,0.3631
15.0759,1785919322.495379,B,1,0.5911,0.6073,0,1.3639,0.3066,0.3655
15.1702,1785919322.589308,A,2,0.6341,0.7344,0,1.4714,0.3199,0.3413
15.2507,1785919322.670267,A,2,0.6801,0.7876,0,1.5499,0.3500,0.3276
15.3288,1785919322.747587,A,2,0.7204,0.8144,1,1.5656,0.3377,0.3303
15.4065,1785919322.825715,A,2,0.7105,0.6872,1,1.4211,0.2990,0.3695
15.4871,1785919322.905956,A,2,0.6825,0.6173,0,1.3806,0.3093,0.3661
15.5646,1785919322.983425,A,2,0.6849,0.6904,0,1.3904,0.3226,0.3308
15.6427,1785919323.061638,A,2,0.6355,0.5202,0,1.2916,0.3223,0.3496
15.7224,1785919323.141659,A,2,0.5232,0.2613,0,1.1297,0.2773,0.4021
15.8021,1785919323.221066,A,2,0.4878,0.4050,0,1.2108,0.3114,0.3591
15.8793,1785919323.298548,A,2,0.5429,0.6716,0,1.3573,0.3512,0.3081
15.9580,1785919323.376816,A,2,0.5880,0.6931,0,1.3850,0.3432,0.3213
16.0365,1785919323.455777,A,2,0.6259,0.7143,0,1.4401,0.3355,0.3257
16.1160,1785919323.535079,A,2,0.6513,0.7108,0,1.4320,0.3160,0.3398
16.1950,1785919323.613825,A,2,0.7076,0.8390,1,1.5956,0.3616,0.3031
16.2732,1785919323.692483,A,2,0.7342,0.7961,1,1.5242,0.3235,0.3364
16.3519,1785919323.770698,A,2,0.7589,0.8164,1,1.5602,0.3496,0.3198
16.4320,1785919323.850891,A,2,0.7591,0.7596,1,1.5096,0.3482,0.3196
16.5080,1785919323.927391,A,2,0.7711,0.7990,1,1.4999,0.3789,0.2792
16.5878,1785919324.007041,A,2,0.7326,0.6429,1,1.3602,0.3442,0.3159
16.6659,1785919324.084761,A,2,0.7247,0.7062,1,1.4313,0.3775,0.2868
16.7431,1785919324.161904,A,2,0.7195,0.7075,1,1.4216,0.3854,0.2754
16.8223,1785919324.241872,A,2,0.7093,0.6854,1,1.3891,0.3726,0.2800
16.9024,1785919324.321631,A,2,0.7320,0.7850,1,1.4844,0.3954,0.2673
16.9804,1785919324.399406,A,2,0.7747,0.8744,1,1.6149,0.4347,0.2422
17.0582,1785919324.477032,A,2,0.7812,0.7963,1,1.5135,0.3681,0.2935
17.1371,1785919324.556332,A,2,0.8164,0.8986,1,1.6662,0.4090,0.2655
17.2164,1785919324.635531,A,2,0.8591,0.9587,1,1.7200,0.4050,0.2467
17.2962,1785919324.715326,A,2,0.8918,0.9680,1,1.7494,0.4213,0.2433
17.3743,1785919324.793500,A,2,0.9052,0.9364,1,1.7568,0.4390,0.2435
17.4541,1785919324.873167,A,2,0.9268,0.9774,1,1.7609,0.4508,0.2196
17.5303,1785919324.949514,A,2,0.9177,0.8964,1,1.6320,0.4121,0.2475
17.6094,1785919325.028601,A,2,0.9141,0.9058,1,1.6690,0.4507,0.2220
17.6862,1785919325.105233,A,2,0.9104,0.9018,1,1.6565,0.4593,0.2110
17.7640,1785919325.182863,A,2,0.8933,0.8533,1,1.5930,0.4400,0.2215
17.8444,1785919325.263938,A,2,0.8775,0.8407,1,1.5981,0.4496,0.2219
17.9203,1785919325.339104,A,2,0.8640,0.8326,1,1.5889,0.4250,0.2414
18.0002,1785919325.419338,A,2,0.8733,0.8947,1,1.6655,0.4455,0.2314
18.0761,1785919325.495548,A,2,0.9047,0.9782,1,1.7981,0.4707,0.2150
18.1561,1785919325.575392,A,2,0.9333,1,1,1.8780,0.4988,0.1972
18.2342,1785919325.653012,A,2,0.9533,1,1,1.9046,0.4806,0.2006
18.3112,1785919325.730364,A,2,0.9621,0.9828,1,1.8465,0.4627,0.2289
18.3890,1785919325.808203,A,2,0.9684,0.9828,1,1.7951,0.4363,0.2262
18.4680,1785919325.887036,A,2,0.9663,0.9615,1,1.7954,0.4653,0.2144
18.5464,1785919325.965656,A,2,0.9624,0.9532,1,1.7984,0.4950,0.1966
18.6241,1785919326.043444,A,2,0.9343,0.8686,1,1.6471,0.4528,0.2180
18.7020,1785919326.121008,A,2,0.9135,0.8650,1,1.6718,0.4719,0.2129
18.7800,1785919326.199398,A,2,0.9067,0.8908,1,1.7095,0.4881,0.2001
18.8590,1785919326.277980,A,2,0.8945,0.8661,1,1.6623,0.4722,0.2086
18.9384,1785919326.357932,A,2,0.8799,0.8458,1,1.6687,0.4623,0.2211
19.0163,1785919326.435791,A,2,0.8997,0.9461,1,1.7896,0.4919,0.2013
19.0962,1785919326.515338,A,2,0.9273,0.9917,1,1.8583,0.4873,0.1987
19.1743,1785919326.593263,A,2,0.9479,0.9959,1,1.8862,0.4836,0.2087
19.2534,1785919326.672539,A,2,0.9623,0.9959,1,1.8634,0.4537,0.2198
19.3316,1785919326.750645,A,2,0.9724,0.9959,1,1.8557,0.4617,0.2092
19.4108,1785919326.829744,A,2,0.9502,0.8984,1,1.7299,0.4357,0.2312
19.4889,1785919326.908080,A,2,0.9433,0.9271,1,1.7995,0.4753,0.2181
19.5670,1785919326.986102,A,2,0.9143,0.8468,1,1.7086,0.4686,0.2261
19.6467,1785919327.065740,A,2,0.8569,0.7229,1,1.5526,0.4202,0.2532
19.7249,1785919327.144156,A,2,0.8146,0.7160,1,1.5135,0.4223,0.2430
19.8046,1785919327.223548,A,2,0.7985,0.7610,1,1.5840,0.4453,0.2258
19.8828,1785919327.301775,A,2,0.7471,0.6270,1,1.4712,0.4085,0.2624
19.9618,1785919327.381100,A,2,0.7542,0.7708,1,1.6187,0.4427,0.2362
20.0387,1785919327.457868,A,2,0.7571,0.7638,1,1.5953,0.4145,0.2505
20.1187,1785919327.537647,A,2,0.7441,0.7137,1,1.5460,0.3631,0.2957
20.2112,1785919327.630365,B,2,0.7611,0.8008,1,1.6597,0.3923,0.2770
20.2917,1785919327.711057,B,2,0.7814,0.8288,1,1.6747,0.3951,0.2742
20.3697,1785919327.788636,B,2,0.7609,0.7132,1,1.5864,0.3601,0.3038
20.4487,1785919327.868290,B,2,0.6983,0.5521,0,1.4596,0.3322,0.3483
20.5259,1785919327.945483,B,2,0.6711,0.6077,0,1.4440,0.3491,0.3008
20.6039,1785919328.022885,B,2,0.6169,0.4904,0,1.3618,0.3459,0.3244
20.6839,1785919328.103022,B,2,0.5750,0.4771,0,1.3356,0.3390,0.3252
20.7618,1785919328.181116,B,2,0.5040,0.3384,0,1.2231,0.3184,0.3484
20.8421,1785919328.260942,B,2,0.5028,0.5000,0,1.3410,0.3556,0.3063
20.9201,1785919328.338985,B,2,0.4742,0.4075,0,1.3014,0.3246,0.3495
20.9986,1785919328.417709,B,2,0.5023,0.5677,0,1.4378,0.3740,0.3018
21.0783,1785919328.497124,B,2,0.4976,0.4869,0,1.3695,0.3103,0.3575
21.1564,1785919328.575531,B,2,0.5331,0.6157,0,1.4801,0.3201,0.3380
21.2363,1785919328.655920,B,2,0.5427,0.5651,0,1.4475,0.2907,0.3702
21.3143,1785919328.733656,B,2,0.5665,0.6222,0,1.4831,0.3024,0.3509
21.3923,1785919328.811244,B,2,0.5626,0.5535,0,1.4193,0.2930,0.3622
21.4722,1785919328.891459,B,2,0.5626,0.5625,0,1.4265,0.3309,0.3319
21.5500,1785919328.969008,B,2,0.5652,0.5714,0,1.4279,0.3432,0.3205
21.6292,1785919329.048466,B,2,0.5150,0.3978,0,1.2784,0.3075,0.3537
21.7066,1785919329.125792,B,2,0.4303,0.2327,0,1.1669,0.2903,0.3949
21.7848,1785919329.203781,B,2,0.3882,0.2899,0,1.1994,0.2984,0.3672
21.8646,1785919329.283550,B,2,0.3800,0.3610,0,1.2513,0.3137,0.3483
21.9431,1785919329.362182,B,2,0.3664,0.3345,0,1.2648,0.3029,0.3688
22.0230,1785919329.442112,B,2,0.3360,0.2652,0,1.2385,0.2506,0.4285
22.1009,1785919329.519749,B,2,0.4227,0.6250,0,1.4606,0.3180,0.3359
22.1807,1785919329.599581,B,2,0.4368,0.4698,0,1.4033,0.2920,0.3881
22.2585,1785919329.678097,B,2,0.4685,0.5426,0,1.4165,0.2726,0.3882
22.3369,1785919329.755742,B,2,0.5124,0.6148,0,1.5063,0.3119,0.3614
22.4167,1785919329.835777,B,2,0.5246,0.5528,0,1.4307,0.3065,0.3586
22.4949,1785919329.914063,B,2,0.5082,0.4702,0,1.3639,0.3127,0.3569
22.5730,1785919329.991964,B,2,0.4292,0.2448,0,1.2156,0.2744,0.4070
22.6508,1785919330.069703,B,2,0.3987,0.3275,0,1.2445,0.3033,0.3668
22.7289,1785919330.148357,B,2,0.3530,0.2465,0,1.1735,0.2838,0.3830
22.8089,1785919330.227741,B,2,0.3748,0.4256,0,1.3004,0.3397,0.3263
22.8867,1785919330.305627,B,2,0.3420,0.2655,0,1.1898,0.2961,0.3747
22.9668,1785919330.386366,B,2,0.3642,0.4158,0,1.3213,0.3269,0.3472
23.0443,1785919330.463504,B,2,0.4111,0.5205,0,1.3631,0.2986,0.3570
23.1207,1785919330.539913,B,2,0.4475,0.5324,0,1.3851,0.2802,0.3760
23.2004,1785919330.619792,B,2,0.4836,0.5680,0,1.4581,0.3102,0.3647
23.2787,1785919330.697609,B,2,0.5399,0.6712,0,1.5204,0.3195,0.3471
23.3585,1785919330.777316,B,2,0.5269,0.4966,0,1.4126,0.2891,0.3857
23.4366,1785919330.855683,B,2,0.5355,0.5556,0,1.4287,0.3184,0.3575
23.5146,1785919330.933658,B,2,0.5218,0.4899,0,1.3869,0.3232,0.3523
23.5947,1785919331.013650,B,2,0.4646,0.3311,0,1.2906,0.3054,0.3756
23.6711,1785919331.090359,B,2,0.4312,0.3533,0,1.2639,0.3184,0.3513
23.7489,1785919331.167817,B,2,0.3679,0.2200,0,1.1533,0.2970,0.3795
23.8288,1785919331.247745,B,2,0.3365,0.2633,0,1.1778,0.3014,0.3658
23.9083,1785919331.327182,B,2,0.3346,0.3300,0,1.2492,0.3174,0.3558
23.9869,1785919331.405822,B,2,0.4072,0.5767,0,1.3674,0.3258,0.3241
24.0673,1785919331.486565,B,2,0.4730,0.6267,0,1.4318,0.3382,0.3223
24.1442,1785919331.563110,B,2,0.4641,0.4433,0,1.3527,0.2812,0.3886
24.2229,1785919331.642092,B,2,0.4659,0.4700,0,1.3956,0.2814,0.3957
24.3030,1785919331.721964,B,2,0.4921,0.5533,0,1.4218,0.2793,0.3907
24.3813,1785919331.800085,B,2,0.5325,0.6267,0,1.4580,0.3048,0.3613
24.4592,1785919331.878419,B,2,0.4737,0.3367,0,1.3171,0.2765,0.4110
24.5393,1785919331.958231,B,2,0.4246,0.3100,0,1.2660,0.2795,0.4018
24.6173,1785919332.036492,B,2,0.3662,0.2300,0,1.1843,0.2702,0.4059
24.6961,1785919332.115395,B,2,0.3154,0.1967,0,1.1530,0.2842,0.4032
24.7753,1785919332.194164,B,2,0.2868,0.2200,0,1.1608,0.2809,0.3985
24.8542,1785919332.273619,B,2,0.2237,0.0767,0,1.0436,0.2265,0.4620
24.9332,1785919332.352338,B,2,0.1966,0.1333,0,1.1253,0.2482,0.4476
25.0123,1785919332.431063,B,2,0.2356,0.3267,0,1.2462,0.2692,0.4022
25.0913,1785919332.510661,B,2,0.2749,0.3667,0,1.2840,0.2485,0.4178
25.1708,1785919332.589867,B,2,0.2935,0.3367,0,1.3200,0.2383,0.4524
25.2497,1785919332.668460,B,2,0.3674,0.5400,0,1.4070,0.2759,0.3974
25.3281,1785919332.747242,B,2,0.3282,0.2367,0,1.2801,0.2184,0.4836
25.4071,1785919332.826109,B,2,0.3147,0.2833,0,1.2814,0.2255,0.4641
25.4861,1785919332.904958,B,2,0.3113,0.3033,0,1.2638,0.2590,0.4247
25.5661,1785919332.985033,B,2,0.2539,0.1200,0,1.1225,0.2136,0.4836
25.6444,1785919333.063614,B,2,0.1977,0.0667,0,1.0546,0.2112,0.4837
25.7219,1785919333.141009,B,2,0.1584,0.0667,0,1.0276,0.2116,0.4793
25.8003,1785919333.219576,B,2,0.1239,0.0433,0,0.9840,0.1973,0.5127
25.8787,1785919333.298206,B,2,0.1037,0.0567,0,1.0275,0.1954,0.5050
25.9563,1785919333.375627,B,2,0.0916,0.0633,0,1.0841,0.2107,0.5077
26.0341,1785919333.453046,B,2,0.0831,0.0633,0,1.1133,0.1888,0.5399
26.1123,1785919333.532075,B,2,0.0902,0.1067,0,1.1820,0.1973,0.5333
26.1903,1785919333.609209,B,2,0.0941,0.1033,0,1.2026,0.1787,0.5567
26.2685,1785919333.687357,B,2,0.1289,0.2100,0,1.2489,0.1911,0.5154
26.3465,1785919333.765785,B,2,0.1182,0.0933,0,1.2156,0.1674,0.5748
26.4264,1785919333.845472,B,2,0.1398,0.1900,0,1.2065,0.1866,0.5144
26.5044,1785919333.923461,B,2,0.1138,0.0533,0,1.0917,0.1556,0.5698
26.5826,1785919334.001808,B,2,0.0947,0.0500,0,1.0564,0.1750,0.5533
26.6613,1785919334.080331,B,2,0.0743,0.0267,0,1.0087,0.1830,0.5516
26.7395,1785919334.158710,B,2,0.0580,0.0200,0,0.9855,0.1809,0.5509
26.8178,1785919334.237275,B,2,0.0596,0.0633,0,1.0194,0.2084,0.5071
26.8979,1785919334.316771,B,2,0.0467,0.0167,0,0.9819,0.1859,0.5552
26.9761,1785919334.395116,B,2,0.0437,0.0367,0,1.0282,0.1639,0.5683
27.0550,1785919334.474371,B,2,0.0556,0.0833,0,1.1212,0.1659,0.5630
27.1339,1785919334.552870,B,2,0.0719,0.1100,0,1.1859,0.1745,0.5643
27.2118,1785919334.630766,B,2,0.0903,0.1333,0,1.2191,0.1620,0.5779
27.2919,1785919334.711111,B,2,0.1002,0.1233,0,1.2082,0.1704,0.5709
27.3700,1785919334.788998,B,2,0.1292,0.1967,0,1.2104,0.1807,0.5396
27.4489,1785919334.868195,B,2,0.1364,0.1533,0,1.1716,0.1810,0.5405
27.5281,1785919334.947478,B,2,0.1195,0.0800,0,1.1033,0.1729,0.5528
27.6059,1785919335.024862,B,2,0.0986,0.0500,0,1.0370,0.1730,0.5583
27.6862,1785919335.105353,B,2,0.0841,0.0500,0,1.0014,0.1929,0.5295
27.7643,1785919335.183915,B,2,0.0698,0.0367,0,0.9682,0.1879,0.5317
27.8419,1785919335.260793,B,2,0.0639,0.0500,0,0.9795,0.1982,0.5182
27.9189,1785919335.337725,B,2,0.0687,0.0800,0,1.0322,0.1973,0.5252
27.9981,1785919335.417352,B,2,0.1191,0.2367,0,1.1471,0.2285,0.4687
28.0782,1785919335.497486,B,2,0.1444,0.2033,0,1.1653,0.1922,0.5197
28.1561,1785919335.575619,B,2,0.1991,0.3267,0,1.2560,0.2124,0.4925
28.2360,1785919335.655174,B,2,0.2613,0.4067,0,1.3078,0.2164,0.4748
28.3133,1785919335.732510,B,2,0.2839,0.3367,0,1.2828,0.2018,0.5046
28.3927,1785919335.811624,B,2,0.3098,0.3700,0,1.2814,0.2189,0.4742
28.4707,1785919335.889779,B,2,0.2448,0.0933,0,1.1320,0.1645,0.5767
28.5509,1785919335.970095,B,2,0.2784,0.3567,0,1.1835,0.2501,0.4203
28.6288,1785919336.047648,B,2,0.2849,0.3000,0,1.1395,0.2530,0.4238
28.7088,1785919336.127826,B,2,0.2604,0.2033,0,1.0878,0.2510,0.4457
28.7867,1785919336.205805,B,2,0.2223,0.1333,0,1.0379,0.2146,0.4789
28.8650,1785919336.284113,B,2,0.1916,0.1200,0,1.0362,0.2143,0.4864
28.9432,1785919336.362266,B,2,0.2141,0.2667,0,1.1360,0.2526,0.4421
29.0232,1785919336.442605,B,2,0.2589,0.3633,0,1.2149,0.2583,0.4278
29.1009,1785919336.519756,B,2,0.3302,0.4967,0,1.2977,0.2645,0.4124
29.1794,1785919336.598489,B,2,0.3992,0.5600,0,1.3312,0.2458,0.4226
29.2596,1785919336.678798,B,2,0.4814,0.6733,0,1.4228,0.2800,0.3913
29.3372,1785919336.756274,B,2,0.5090,0.5733,0,1.3844,0.2747,0.4077
29.4173,1785919336.836584,B,2,0.4713,0.3833,0,1.2629,0.2180,0.4675
29.4962,1785919336.915243,B,2,0.4959,0.5533,0,1.3236,0.2767,0.3957
29.5760,1785919336.995135,B,2,0.4871,0.4667,0,1.2603,0.2807,0.3924
29.6541,1785919337.073234,B,2,0.4330,0.3067,0,1.1254,0.2518,0.4181
29.7339,1785919337.153494,B,2,0.4141,0.3700,0,1.1645,0.2866,0.3777
29.8123,1785919337.231562,B,2,0.3869,0.3233,0,1.1393,0.2889,0.3913
29.8920,1785919337.310915,B,2,0.4038,0.4433,0,1.2195,0.3122,0.3609
29.9691,1785919337.388366,B,2,0.4287,0.4867,0,1.2464,0.2836,0.3800
30.0479,1785919337.466960,B,2,0.4521,0.5067,0,1.3028,0.2852,0.3951
30.1259,1785919337.544871,B,2,0.4604,0.4800,0,1.3010,0.2575,0.4221
30.2197,1785919337.638899,A,3,0.4933,0.5700,0,1.3731,0.2650,0.4222
30.3003,1785919337.719389,A,3,0.5493,0.6800,0,1.4189,0.2718,0.3955
30.3779,1785919337.796813,A,3,0.5845,0.6667,0,1.4105,0.2941,0.3768
30.4581,1785919337.877119,A,3,0.5482,0.4633,0,1.2906,0.2543,0.4225
30.5363,1785919337.955700,A,3,0.5017,0.3933,0,1.2514,0.2702,0.4125
30.6140,1785919338.032900,A,3,0.4292,0.2600,0,1.1229,0.2487,0.4369
30.6940,1785919338.112956,A,3,0.3964,0.3200,0,1.1409,0.2706,0.4012
30.7722,1785919338.191767,A,3,0.3715,0.3133,0,1.1366,0.2751,0.3991
30.8501,1785919338.269019,A,3,0.3661,0.3533,0,1.1678,0.2885,0.3817
30.9281,1785919338.347076,A,3,0.3562,0.3333,0,1.1395,0.2495,0.4130
31.0049,1785919338.424016,A,3,0.3594,0.3667,0,1.2015,0.2543,0.4168
31.0837,1785919338.502705,A,3,0.3976,0.4867,0,1.2988,0.2608,0.4179
31.1628,1785919338.581697,A,3,0.4733,0.6500,0,1.3991,0.2869,0.3828
31.2403,1785919338.660153,A,3,0.5313,0.6667,0,1.4004,0.2694,0.3930
31.3179,1785919338.736901,A,3,0.5689,0.6567,0,1.4129,0.2916,0.3820
31.3959,1785919338.815085,A,3,0.5032,0.3500,0,1.2894,0.2316,0.4712
31.4758,1785919338.895020,A,3,0.5113,0.5300,0,1.3116,0.2768,0.3938
31.5538,1785919338.972983,A,3,0.4749,0.3900,0,1.2362,0.2576,0.4169
31.6322,1785919339.051154,A,3,0.4294,0.3233,0,1.1704,0.2672,0.4082
31.7103,1785919339.129600,A,3,0.3796,0.2633,0,1.1272,0.2711,0.4184
31.7895,1785919339.208593,A,3,0.3477,0.2733,0,1.1078,0.2700,0.4067
31.8686,1785919339.287542,A,3,0.3184,0.2500,0,1.1013,0.2574,0.4267
31.9464,1785919339.365546,A,3,0.3389,0.3867,0,1.1984,0.2723,0.3992
32.0257,1785919339.444714,A,3,0.3422,0.3500,0,1.2222,0.2678,0.4206
32.1039,1785919339.523082,A,3,0.3996,0.5333,0,1.3277,0.2729,0.4029
32.1839,1785919339.603042,A,3,0.4547,0.5833,0,1.3853,0.2835,0.3940
32.2640,1785919339.683241,A,3,0.4893,0.5700,0,1.3951,0.2728,0.4127
32.3421,1785919339.761542,A,3,0.5145,0.5733,0,1.4043,0.2699,0.4161
